period_type,period_start,year,month,quarter,sales_org,sector,region,bookings_usd,recognized_revenue_usd,gross_margin_pct,new_logos,avg_contract_value_usd,pipeline_usd,pipeline_coverage,mom_growth_pct,yoy_growth_pct,logo_churn_rate,net_revenue_retention,risk_flag,notes
Monthly,2024-01-01,2024,1,2024-Q1,Channel Partners,FinTech,NA National,282000,246000,75.5,8,35000,970000,3.44,,,0.0159,1.019,,
Monthly,2024-01-01,2024,1,2024-Q1,Channel Partners,Government & Education,NA National,210000,187000,71.7,10,21000,623000,2.97,,,0.0135,1.128,,
Monthly,2024-01-01,2024,1,2024-Q1,Channel Partners,Healthcare,NA National,271000,221000,71.3,8,34000,1265000,4.68,,,0.0154,1.064,,
Monthly,2024-01-01,2024,1,2024-Q1,Channel Partners,Manufacturing,NA National,237000,182000,78.9,11,22000,1088000,4.59,,,0.0268,1.058,,
Monthly,2024-01-01,2024,1,2024-Q1,Channel Partners,Media & SaaS,NA National,277000,229000,71.1,9,31000,944000,3.41,,,0.0066,1.194,,
Monthly,2024-01-01,2024,1,2024-Q1,Channel Partners,Retail & eCommerce,NA National,221000,180000,66.1,2,111000,606000,2.74,,,0.0134,1.153,,
Monthly,2024-01-01,2024,1,2024-Q1,Customer Expansion,FinTech,NA National,373000,299000,66.2,15,25000,894000,2.39,,,0.0071,0.988,,
Monthly,2024-01-01,2024,1,2024-Q1,Customer Expansion,Government & Education,NA National,311000,249000,71.5,13,24000,1143000,3.68,,,0.0151,1.119,,
Monthly,2024-01-01,2024,1,2024-Q1,Customer Expansion,Healthcare,NA National,400000,300000,70.8,13,31000,1835000,4.59,,,0.0162,1.039,,
Monthly,2024-01-01,2024,1,2024-Q1,Customer Expansion,Manufacturing,NA National,406000,301000,65.4,17,24000,1939000,4.78,,,0.0133,1.133,,
Monthly,2024-01-01,2024,1,2024-Q1,Customer Expansion,Media & SaaS,NA National,405000,356000,71.1,8,51000,1870000,4.62,,,0.0153,1.028,,
Monthly,2024-01-01,2024,1,2024-Q1,Customer Expansion,Retail & eCommerce,NA National,398000,320000,66.9,17,23000,1334000,3.35,,,0.0095,1.122,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise East,FinTech,NA East,453000,366000,79.5,9,50000,1646000,3.63,,,0.0124,1.144,,
